"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6151","Validate the row of alphabet links below the top brands present","Mason Shoemall","Sun Dec 15 15:14:44 UTC 2024","passed","Sun Dec 15 15:14:50 UTC 2024","Mason Commerce Tool Site","mason_bip.auth.spec.js","",""
"","8414","Validate the full-width banner present below the page title which supports images and videos","Mason Shoemall","Sun Dec 15 15:14:36 UTC 2024","passed","Sun Dec 15 15:14:44 UTC 2024","Mason Commerce Tool Site","mason_bip.auth.spec.js","",""
"","212413","Guest user placing an order with Paypal","Mason Shoemall","Sun Dec 15 15:18:27 UTC 2024","broken","Sun Dec 15 15:22:00 UTC 2024","Mason Checkout - Guest and LoggedIn Users - Scenarios > Mason Checkout - Guest user placing an order with Paypal - Scenarios","mason_CheckoutScenarios.auth.spec.js","",""
"","25678","Validate navigation to BLP from Top Brands in homepage and breadcrumbs are shown in BLP","Mason Shoemall","Sun Dec 15 15:14:46 UTC 2024","passed","Sun Dec 15 15:15:12 UTC 2024","Mason BLP Page","mason_blp.auth.spec.js","",""
"","96779","Validate navigation to BLP from PDP and ensure breadcrumbs are shown in BLP","Mason Shoemall","Sun Dec 15 15:16:24 UTC 2024","broken","Sun Dec 15 15:18:00 UTC 2024","Mason BLP Page","mason_blp.auth.spec.js","",""
"","9804","Validate the brands logos present below the full width banner","Mason Shoemall","Sun Dec 15 15:14:36 UTC 2024","passed","Sun Dec 15 15:14:45 UTC 2024","Mason Commerce Tool Site","mason_bip.auth.spec.js","",""
"","212995","Guest user placing an order with a credit card","Mason Shoemall","Sun Dec 15 15:18:01 UTC 2024","broken","Sun Dec 15 15:21:34 UTC 2024","Mason Checkout - Guest and LoggedIn Users - Scenarios > Mason Checkout - Guest user placing an order with a credit card - Scenarios","mason_CheckoutScenarios.auth.spec.js","",""
"","212622","Guest user with cc- promo code","Mason Shoemall","Sun Dec 15 15:18:00 UTC 2024","broken","Sun Dec 15 15:21:33 UTC 2024","Mason Checkout - Guest and LoggedIn Users - Scenarios > Mason Checkout - Guest user with cc- promo code - Scenarios","mason_CheckoutScenarios.auth.spec.js","",""
"","10516","Validate Home -> Brand breadcrumbs are shown in BIP","Mason Shoemall","Sun Dec 15 15:14:36 UTC 2024","passed","Sun Dec 15 15:14:46 UTC 2024","Mason Commerce Tool Site","mason_bip.auth.spec.js","",""
"","98378","Validate navigation to BLP from BIP and ensure breadcrumbs are shown in BLP","Mason Shoemall","Sun Dec 15 15:16:48 UTC 2024","broken","Sun Dec 15 15:18:27 UTC 2024","Mason BLP Page","mason_blp.auth.spec.js","",""
"","97090","Validate under each alphabets the brand name starting with that letter is present","Mason Shoemall","Sun Dec 15 15:16:22 UTC 2024","broken","Sun Dec 15 15:17:59 UTC 2024","Mason Commerce Tool Site","mason_bip.auth.spec.js","",""
